class,label,n,alpha_exact,caro_wei,greedy_mis,clique_ub,cw_abs_err,cw_rel_err,greedy_abs_err,greedy_rel_err,ub_abs_err,exact_time_ms,greedy_time_ms,peak_rss_mb,c_log
prime_circulant,"C(17,[1, 2, 4, 8])",17,3,1.8889,3,6,1.1111,0.3704,0,0.0,3,0.08,0.14,111.2,0.678915
prime_circulant,"C(29,[1, 2, 6, 8])",29,6,3.2222,6,11,2.7778,0.463,0,0.0,5,0.53,0.15,111.2,0.79597
prime_circulant,"C(37,[1, 10, 11])",37,9,5.2857,9,15,3.7143,0.4127,0,0.0,6,3.19,0.2,111.2,0.81454
prime_circulant,"C(41,[1, 2, 4, 10, 12, 16, 17])",41,6,2.7333,6,15,3.2667,0.5444,0,0.0,9,1.98,0.22,111.2,0.77633
prime_circulant,"C(53,[1, 2, 7, 16, 17, 24, 25])",53,8,3.5333,8,21,4.4667,0.5583,0,0.0,13,21.9,0.28,111.2,0.800743
prime_circulant,"C(61,[1, 13, 14])",61,16,8.7143,16,24,7.2857,0.4554,0,0.0,8,88.26,0.38,111.2,0.878338
prime_circulant,"C(73,[1, 3, 4])",73,20,10.4286,19,28,9.5714,0.4786,1,0.05,8,367.23,0.48,111.2,0.917442
prime_circulant,"C(89,[1, 28, 29])",89,24,12.7143,23,34,11.2857,0.4702,1,0.0417,10,10653.71,0.52,111.2,0.90301
dihedral_cayley,1_D22,22,4,2.4444,4,9,1.5556,0.3889,0,0.0,5,0.16,0.14,111.2,0.699489
dihedral_cayley,4_D20,20,4,2.5,4,8,1.5,0.375,0,0.0,4,0.16,0.2,111.2,0.719458
dihedral_cayley,5_D42,42,6,2.8,6,17,3.2,0.5333,0,0.0,11,2.45,0.26,111.2,0.757846
dihedral_cayley,4_D68,68,12,6.1818,12,27,5.8182,0.4848,0,0.0,15,3624.47,0.39,111.2,0.766402
dihedral_cayley,3_D30,30,6,3.3333,6,13,2.6667,0.4444,0,0.0,7,0.51,0.16,111.2,0.769437
dihedral_cayley,3_D28,28,6,3.5,6,12,2.5,0.4167,0,0.0,6,0.55,0.15,111.2,0.770848
dihedral_cayley,1_D26,26,6,3.7143,6,10,2.2857,0.381,0,0.0,4,0.42,0.15,111.2,0.772769
dihedral_cayley,1_D46,46,9,4.1818,9,20,4.8182,0.5354,0,0.0,11,6.53,0.23,111.2,0.849707
polarity,ER(5),31,10,4.5714,10,16,5.4286,0.5429,0,0.0,6,0.42,0.2,111.2,1.080214
polarity,ER(7),57,15,6.4444,14,26,8.5556,0.5704,1,0.0667,11,20.13,0.32,111.2,1.012418
polarity,ER(8),73,17,7.4,16,37,9.6,0.5647,1,0.0588,20,928.35,0.39,111.2,0.953881
polarity,ER(9),91,22,8.3636,20,40,13.6364,0.6198,2,0.0909,18,1713.88,0.52,111.2,1.049943
random_k4free,"rand(n=20,s=0)",20,6,2.9048,6,9,3.0952,0.5159,0,0.0,3,0.24,0.22,111.2,
random_k4free,"rand(n=20,s=1)",20,6,2.9143,6,8,3.0857,0.5143,0,0.0,2,0.39,0.24,111.2,
random_k4free,"rand(n=20,s=2)",20,6,2.9143,6,9,3.0857,0.5143,0,0.0,3,0.18,0.26,111.2,
random_k4free,"rand(n=20,s=3)",20,6,2.9881,6,10,3.0119,0.502,0,0.0,4,0.15,0.21,111.2,
random_k4free,"rand(n=20,s=4)",20,6,2.8571,6,9,3.1429,0.5238,0,0.0,3,0.15,0.2,111.2,
random_k4free,"rand(n=30,s=0)",30,7,2.7455,7,12,4.2545,0.6078,0,0.0,5,0.34,0.3,111.2,
random_k4free,"rand(n=30,s=1)",30,9,2.8061,9,12,6.1939,0.6882,0,0.0,3,0.26,0.27,111.2,
random_k4free,"rand(n=30,s=2)",30,8,2.7475,7,12,5.2525,0.6566,1,0.125,4,0.33,0.26,111.2,
random_k4free,"rand(n=30,s=3)",30,7,2.7677,7,11,4.2323,0.6046,0,0.0,4,0.35,0.27,111.2,
random_k4free,"rand(n=30,s=4)",30,7,2.7879,7,11,4.2121,0.6017,0,0.0,4,0.35,0.26,111.2,
random_k4free,"rand(n=40,s=0)",40,11,3.6545,10,17,7.3455,0.6678,1,0.0909,6,0.88,0.45,111.2,
random_k4free,"rand(n=40,s=1)",40,10,3.6545,9,18,6.3455,0.6345,1,0.1,8,1.05,0.37,111.2,
random_k4free,"rand(n=40,s=2)",40,10,3.6795,10,17,6.3205,0.632,0,0.0,7,1.01,0.33,111.2,
random_k4free,"rand(n=40,s=3)",40,10,3.6566,10,17,6.3434,0.6343,0,0.0,7,1.79,0.48,111.2,
random_k4free,"rand(n=40,s=4)",40,10,3.6566,10,17,6.3434,0.6343,0,0.0,7,0.93,0.39,111.2,
random_k4free,"rand(n=50,s=0)",50,13,4.5636,13,21,8.4364,0.649,0,0.0,8,4.45,0.41,111.2,
random_k4free,"rand(n=50,s=1)",50,12,4.5859,12,20,7.4141,0.6178,0,0.0,8,8.47,0.39,111.2,
random_k4free,"rand(n=50,s=2)",50,13,4.5974,12,21,8.4026,0.6464,1,0.0769,8,4.16,0.47,111.2,
random_k4free,"rand(n=50,s=3)",50,14,4.5455,13,20,9.4545,0.6753,1,0.0714,6,2.74,0.37,111.2,
random_k4free,"rand(n=50,s=4)",50,13,4.6318,12,22,8.3682,0.6437,1,0.0769,9,3.9,0.41,111.2,
random_k4free,"rand(n=60,s=0)",60,16,5.4747,14,25,10.5253,0.6578,2,0.125,9,11.37,0.47,111.2,
random_k4free,"rand(n=60,s=1)",60,15,5.4727,14,25,9.5273,0.6352,1,0.0667,10,26.79,0.48,111.2,
random_k4free,"rand(n=60,s=2)",60,16,5.4545,15,25,10.5455,0.6591,1,0.0625,9,16.42,0.51,111.2,
random_k4free,"rand(n=60,s=3)",60,16,5.4929,14,26,10.5071,0.6567,2,0.125,10,16.1,0.48,111.2,
random_k4free,"rand(n=60,s=4)",60,16,5.4747,16,24,10.5253,0.6578,0,0.0,8,13.23,0.5,111.2,
random_k4free,"rand(n=80,s=0)",80,21,7.2929,19,34,13.7071,0.6527,2,0.0952,13,206.88,0.73,111.2,
random_k4free,"rand(n=80,s=1)",80,21,7.3159,19,36,13.6841,0.6516,2,0.0952,15,441.79,0.61,111.2,
random_k4free,"rand(n=80,s=2)",80,22,7.2929,19,34,14.7071,0.6685,3,0.1364,12,160.5,0.86,111.2,
random_k4free,"rand(n=80,s=3)",80,22,7.3449,19,34,14.6551,0.6661,3,0.1364,12,287.27,0.82,111.2,
random_k4free,"rand(n=80,s=4)",80,22,7.3361,19,38,14.6639,0.6665,3,0.1364,16,365.42,0.73,111.2,
random_k4free,"rand(n=100,s=0)",100,27,9.1313,24,45,17.8687,0.6618,3,0.1111,18,4013.72,0.98,111.2,
random_k4free,"rand(n=100,s=1)",100,27,9.1091,23,47,17.8909,0.6626,4,0.1481,20,3905.56,0.75,111.2,
random_k4free,"rand(n=100,s=2)",100,27,9.0909,24,44,17.9091,0.6633,3,0.1111,17,2274.85,0.77,111.2,
random_k4free,"rand(n=100,s=3)",100,26,9.1111,24,47,16.8889,0.6496,2,0.0769,21,8474.28,0.78,111.2,
random_k4free,"rand(n=100,s=4)",100,27,9.1341,23,45,17.8659,0.6617,4,0.1481,18,4279.69,1.0,111.2,
synthetic_circulant,"C(20,{1,2})",20,6,4.0,6,7,2.0,0.3333,0,0.0,1,0.09,0.15,111.2,
synthetic_circulant,"C(40,{1,2})",40,13,8.0,13,15,5.0,0.3846,0,0.0,2,0.19,0.2,111.2,
synthetic_circulant,"C(60,{1,2})",60,20,12.0,20,23,8.0,0.4,0,0.0,3,0.35,0.31,111.2,
synthetic_circulant,"C(80,{1,2})",80,26,16.0,26,31,10.0,0.3846,0,0.0,5,0.57,0.42,111.2,
synthetic_circulant,"C(100,{1,2})",100,33,20.0,33,38,13.0,0.3939,0,0.0,5,0.72,0.6,111.2,
synthetic_circulant,"C(150,{1,2})",150,50,30.0,50,59,20.0,0.4,0,0.0,9,1.69,1.0,111.2,
synthetic_circulant,"C(200,{1,2})",200,66,40.0,66,79,26.0,0.3939,0,0.0,13,3.19,1.63,111.2,
synthetic_circulant,"C(250,{1,2})",250,83,50.0,83,99,33.0,0.3976,0,0.0,16,5.11,2.29,111.2,
synthetic_circulant,"C(300,{1,2})",300,100,60.0,100,122,40.0,0.4,0,0.0,22,7.56,3.17,111.2,
synthetic_circulant,"C(20,{1,2,4})",20,6,2.8571,6,8,3.1429,0.5238,0,0.0,2,0.08,0.15,111.2,
synthetic_circulant,"C(40,{1,2,4})",40,12,5.7143,12,15,6.2857,0.5238,0,0.0,3,0.17,0.22,111.2,
synthetic_circulant,"C(60,{1,2,4})",60,20,8.5714,20,21,11.4286,0.5714,0,0.0,1,0.32,0.34,111.2,
synthetic_circulant,"C(80,{1,2,4})",80,26,11.4286,26,32,14.5714,0.5604,0,0.0,6,0.51,0.58,111.2,
synthetic_circulant,"C(100,{1,2,4})",100,32,14.2857,32,38,17.7143,0.5536,0,0.0,6,0.85,0.59,111.2,
synthetic_circulant,"C(150,{1,2,4})",150,50,21.4286,50,58,28.5714,0.5714,0,0.0,8,1.76,1.01,111.2,
synthetic_circulant,"C(200,{1,2,4})",200,66,28.5714,66,78,37.4286,0.5671,0,0.0,12,3.01,1.55,111.2,
synthetic_circulant,"C(250,{1,2,4})",250,82,35.7143,82,97,46.2857,0.5645,0,0.0,15,4.78,2.32,111.2,
synthetic_circulant,"C(300,{1,2,4})",300,100,42.8571,100,118,57.1429,0.5714,0,0.0,18,7.16,3.2,111.2,
brown,Brown(n=125),125,20,4.0323,17,47,15.9677,0.7984,3,0.15,27,349.21,0.9,111.2,1.411268
sat_exact,SAT(n=10),10,3,2.0,3,4,1.0,0.3333,0,0.0,1,0.05,0.11,111.2,0.865617
sat_exact,SAT(n=11),11,3,2.2,3,5,0.8,0.2667,0,0.0,2,0.05,0.1,111.2,0.786925
sat_exact,SAT(n=12),12,3,2.0,3,4,1.0,0.3333,0,0.0,1,0.05,0.11,111.2,0.776669
sat_exact,SAT(n=13),13,3,1.8571,3,5,1.1429,0.381,0,0.0,2,0.05,0.12,111.2,0.772769
sat_exact,SAT(n=14),14,3,2.0476,3,6,0.9524,0.3175,0,0.0,3,0.08,0.12,111.2,0.717571
sat_exact,SAT(n=15),15,3,1.9286,3,6,1.0714,0.3571,0,0.0,3,0.08,0.12,111.2,0.719458
sat_exact,SAT(n=16),16,4,3.2,4,7,0.8,0.2,0,0.0,3,0.08,0.12,111.2,0.721348
sat_exact,SAT(n=17),17,3,1.8889,3,6,1.1111,0.3704,0,0.0,3,0.08,0.12,111.2,0.678915
sat_exact,SAT(n=18),18,4,2.5714,4,7,1.4286,0.3571,0,0.0,3,0.16,0.16,111.2,0.744148
sat_exact,SAT(n=19),19,4,2.7143,4,8,1.2857,0.3214,0,0.0,4,0.29,0.28,111.2,0.704982
sat_exact,SAT(n=20),20,4,2.5,4,8,1.5,0.375,0,0.0,4,0.13,0.15,111.2,0.719458
near_regular,NearReg(n=20),20,5,2.5417,5,8,2.4583,0.4917,0,0.0,3,0.11,0.14,111.2,0.899322
near_regular,NearReg(n=25),25,6,2.5111,6,10,3.4889,0.5815,0,0.0,4,0.16,0.15,111.2,0.983058
near_regular,NearReg(n=30),30,7,3.0222,7,11,3.9778,0.5683,0,0.0,4,0.27,0.16,111.2,0.955751
near_regular,NearReg(n=35),35,8,2.9394,8,15,5.0606,0.6326,0,0.0,7,0.87,0.49,111.2,1.048539
near_regular,NearReg(n=40),40,9,3.3652,9,17,5.6348,0.6261,0,0.0,8,1.23,0.24,111.2,1.032155
near_regular,NearReg(n=50),50,11,3.5952,11,20,7.4048,0.6732,0,0.0,9,2.12,0.26,111.2,1.115032
near_regular,NearReg(n=60),60,12,3.7589,12,24,8.2411,0.6868,0,0.0,12,9.08,0.31,111.2,1.107808
near_regular,NearReg(n=70),70,14,4.1324,13,28,9.8676,0.7048,1,0.0714,14,22.58,0.41,111.2,1.154156
near_regular,NearReg(n=80),80,15,4.2226,15,30,10.7774,0.7185,0,0.0,15,59.78,0.45,111.2,1.16767
