method,N,d_cap,d_max,d_min,d_mean,d_var,alpha,alpha_timed_out,greedy_mis,c,time_s
method1,5,3,3,2,2.8,0.16,2,0,2,1.0923,0.0
method2,5,3,3,1,1.6,0.64,3,0,3,1.6384,0.0
method2r,5,3,3,2,2.8,0.16,2,0,2,1.0923,0.0
method3,5,3,3,2,2.8,0.16,2,0,2,1.0923,0.0
method3b,5,3,3,2,2.8,0.16,2,0,2,1.0923,0.0
method4,5,3,3,2,2.8,0.16,2,0,2,1.0923,0.0
method1,6,3,3,3,3.0,0.0,2,0,2,0.9102,0.0
method2,6,3,3,1,1.667,0.556,3,0,3,1.3654,0.0
method2r,6,3,3,3,3.0,0.0,2,0,2,0.9102,0.0
method3,6,3,3,2,2.667,0.222,2,0,2,0.9102,0.0
method3b,6,3,3,2,2.667,0.222,2,0,2,0.9102,0.0
method4,6,3,3,2,2.667,0.222,2,0,2,0.9102,0.0
method1,7,3,3,2,2.857,0.122,3,0,3,1.1703,0.0
method2,7,3,3,1,2.0,0.286,3,0,3,1.1703,0.0
method2r,7,3,3,2,2.857,0.122,3,0,3,1.1703,0.0
method3,7,3,3,2,2.857,0.122,3,0,3,1.1703,0.0
method3b,7,3,3,2,2.857,0.122,3,0,3,1.1703,0.0
method4,7,3,3,2,2.857,0.122,3,0,3,1.1703,0.0
method1,8,3,3,3,3.0,0.0,3,0,3,1.024,0.0
method1,8,4,4,3,3.75,0.188,3,0,3,1.082,0.0
method2,8,3,4,1,1.75,0.938,4,0,4,1.4427,0.0
method2,8,4,4,1,1.75,0.938,4,0,4,1.4427,0.0
method2r,8,3,4,2,3.0,0.25,3,0,3,1.082,0.0
method2r,8,4,4,3,3.75,0.188,3,0,3,1.082,0.0
method3,8,3,3,2,2.75,0.188,3,0,3,1.024,0.0
method3,8,4,4,3,3.75,0.188,3,0,3,1.082,0.0
method3b,8,3,3,2,2.75,0.188,3,0,3,1.024,0.0
method3b,8,4,4,3,3.75,0.188,3,0,3,1.082,0.0
method4,8,3,3,2,2.75,0.188,3,0,3,1.024,0.0
method4,8,4,4,3,3.75,0.188,3,0,3,1.082,0.0
method1,9,3,3,2,2.889,0.099,4,0,4,1.2137,0.0
method1,9,4,4,2,3.778,0.395,3,0,3,0.9618,0.0
method2,9,3,4,1,2.222,1.062,4,0,4,1.2824,0.0
method2,9,4,4,1,2.444,1.358,4,0,4,1.2824,0.0
method2r,9,3,4,2,2.889,0.321,4,0,3,1.2824,0.0
method2r,9,4,4,2,3.778,0.395,3,0,3,0.9618,0.0
method3,9,3,3,2,2.889,0.099,3,0,3,0.9102,0.0
method3,9,4,4,3,3.778,0.173,3,0,3,0.9618,0.0
method3b,9,3,3,2,2.889,0.099,3,0,3,0.9102,0.0
method3b,9,4,4,3,3.778,0.173,3,0,3,0.9618,0.0
method4,9,3,3,2,2.889,0.099,3,0,3,0.9102,0.0
method4,9,4,4,3,3.778,0.173,3,0,3,0.9618,0.0
method1,10,3,3,3,3.0,0.0,4,0,3,1.0923,0.0
method1,10,4,4,2,3.6,0.44,3,0,3,0.8656,0.0
method1,10,5,5,4,4.8,0.16,3,0,3,0.932,0.0
method2,10,3,4,1,2.4,1.04,5,0,5,1.4427,0.0
method2,10,4,4,1,2.8,2.16,5,0,5,1.4427,0.0
method2,10,5,5,1,3.2,2.16,5,0,4,1.5533,0.0
method2r,10,3,4,2,3.0,0.2,4,0,4,1.1542,0.0
method2r,10,4,4,3,3.8,0.16,4,0,4,1.1542,0.0
method2r,10,5,5,3,4.8,0.36,4,0,4,1.2427,0.0
method3,10,3,3,2,2.8,0.16,4,0,4,1.0923,0.01
method3,10,4,4,3,3.8,0.16,3,0,3,0.8656,0.0
method3,10,5,5,5,5.0,0.0,3,0,3,0.932,0.01
method3b,10,3,3,2,2.8,0.16,4,0,4,1.0923,0.01
method3b,10,4,4,3,3.8,0.16,3,0,3,0.8656,0.01
method3b,10,5,5,5,5.0,0.0,3,0,3,0.932,0.01
method4,10,3,3,2,2.8,0.16,4,0,4,1.0923,0.0
method4,10,4,4,3,3.8,0.16,3,0,3,0.8656,0.01
method4,10,5,5,5,5.0,0.0,3,0,3,0.932,0.01
method1,11,3,3,2,2.909,0.083,5,0,4,1.2412,0.0
method1,11,4,4,3,3.818,0.149,4,0,4,1.0492,0.0
method1,11,5,5,4,4.909,0.083,3,0,3,0.8473,0.0
method2,11,3,4,1,2.545,0.793,5,0,5,1.3115,0.0
method2,11,4,4,1,3.091,1.537,5,0,5,1.3115,0.0
method2,11,5,5,1,3.636,2.231,5,0,4,1.4121,0.01
method2r,11,3,4,2,2.909,0.264,4,0,4,1.0492,0.0
method2r,11,4,4,2,3.818,0.331,4,0,4,1.0492,0.0
method2r,11,5,5,4,4.909,0.083,4,0,3,1.1297,0.01
method3,11,3,3,2,2.909,0.083,4,0,4,0.993,0.0
method3,11,4,4,3,3.818,0.149,4,0,4,1.0492,0.01
method3,11,5,5,4,4.909,0.083,4,0,4,1.1297,0.01
method3b,11,3,3,2,2.909,0.083,4,0,4,0.993,0.0
method3b,11,4,4,3,3.818,0.149,4,0,4,1.0492,0.01
method3b,11,5,5,4,4.909,0.083,4,0,4,1.1297,0.01
method4,11,3,3,2,2.909,0.083,4,0,4,0.993,0.0
method4,11,4,4,3,3.818,0.149,4,0,4,1.0492,0.01
method4,11,5,5,4,4.909,0.083,4,0,4,1.1297,0.01
method1,12,3,3,3,3.0,0.0,4,0,4,0.9102,0.0
method1,12,4,4,3,3.833,0.139,4,0,4,0.9618,0.0
method1,12,5,5,4,4.833,0.139,4,0,4,1.0356,0.0
method1,12,6,6,4,5.667,0.389,4,0,4,1.1162,0.0
method2,12,3,4,1,2.667,0.722,6,0,6,1.4427,0.0
method2,12,4,4,1,3.333,1.222,6,0,6,1.4427,0.0
method2,12,5,5,1,4.0,2.167,5,0,5,1.2944,0.01
method2,12,6,6,1,4.667,2.722,5,0,5,1.3953,0.01
method2r,12,3,4,2,3.0,0.167,5,0,5,1.2022,0.0
method2r,12,4,4,2,3.833,0.306,5,0,5,1.2022,0.0
method2r,12,5,5,2,4.667,0.722,4,0,4,1.0356,0.01
method2r,12,6,6,2,5.667,1.222,4,0,4,1.1162,0.01
method3,12,3,3,3,3.0,0.0,5,0,5,1.1378,0.01
method3,12,4,4,3,3.833,0.139,4,0,4,0.9618,0.01
method3,12,5,5,4,4.667,0.222,4,0,4,1.0356,0.01
method3,12,6,6,6,6.0,0.0,4,0,4,1.1162,0.02
method3b,12,3,3,3,3.0,0.0,5,0,5,1.1378,0.01
method3b,12,4,4,3,3.833,0.139,4,0,4,0.9618,0.01
method3b,12,5,5,4,4.667,0.222,4,0,4,1.0356,0.01
method3b,12,6,6,6,6.0,0.0,4,0,4,1.1162,0.01
method4,12,3,3,3,3.0,0.0,5,0,5,1.1378,0.01
method4,12,4,4,3,3.833,0.139,4,0,4,0.9618,0.01
method4,12,5,5,4,4.667,0.222,4,0,4,1.0356,0.01
method4,12,6,6,6,6.0,0.0,4,0,4,1.1162,0.01
method1,13,3,3,2,2.923,0.071,5,0,5,1.0503,0.0
method1,13,4,4,4,4.0,0.0,4,0,4,0.8878,0.0
method1,13,5,5,4,4.923,0.071,4,0,4,0.9559,0.0
method1,13,6,6,6,6.0,0.0,4,0,3,1.0304,0.0
method2,13,3,4,1,2.769,0.485,6,0,6,1.3317,0.0
method2,13,4,4,1,3.538,0.864,6,0,5,1.3317,0.01
method2,13,5,5,2,4.308,1.136,5,0,5,1.1949,0.02
method2,13,6,6,2,5.077,1.609,5,0,4,1.2879,0.03
method2r,13,3,4,3,3.077,0.071,5,0,5,1.1098,0.01
method2r,13,4,4,3,3.846,0.13,5,0,5,1.1098,0.01
method2r,13,5,5,4,4.923,0.071,4,0,4,0.9559,0.03
method2r,13,6,6,5,5.846,0.13,5,0,4,1.2879,0.02
method3,13,3,3,2,2.923,0.071,5,0,5,1.0503,0.01
method3,13,4,4,3,3.846,0.13,5,0,5,1.1098,0.01
method3,13,5,5,4,4.769,0.178,5,0,4,1.1949,0.01
method3,13,6,6,6,6.0,0.0,4,0,3,1.0304,0.02
method3b,13,3,3,2,2.923,0.071,5,0,5,1.0503,0.02
method3b,13,4,4,3,3.846,0.13,5,0,5,1.1098,0.01
method3b,13,5,5,4,4.769,0.178,5,0,4,1.1949,0.01
method3b,13,6,6,6,6.0,0.0,4,0,3,1.0304,0.02
method4,13,3,3,2,2.923,0.071,5,0,5,1.0503,0.01
method4,13,4,4,3,3.846,0.13,5,0,5,1.1098,0.01
method4,13,5,5,4,4.769,0.178,5,0,4,1.1949,0.01
method4,13,6,6,6,6.0,0.0,4,0,3,1.0304,0.01
method1,14,3,3,3,3.0,0.0,6,0,5,1.1703,0.0
method1,14,4,4,4,4.0,0.0,5,0,4,1.0305,0.0
method1,14,5,5,5,5.0,0.0,5,0,4,1.1095,0.0
method1,14,6,6,6,6.0,0.0,4,0,4,0.9568,0.0
method2,14,3,4,1,2.857,0.408,7,0,7,1.4427,0.01
method2,14,4,4,2,3.714,0.49,6,0,6,1.2366,0.02
method2,14,5,5,3,4.571,0.531,5,0,5,1.1095,0.05
method2,14,6,6,4,5.429,0.673,5,0,4,1.196,0.05
method2r,14,3,4,2,3.0,0.143,6,0,6,1.2366,0.01
method2r,14,4,4,3,3.857,0.122,6,0,6,1.2366,0.01
method2r,14,5,5,5,5.0,0.0,5,0,5,1.1095,0.03
method2r,14,6,6,6,6.0,0.0,5,0,5,1.196,0.04
method3,14,3,3,3,3.0,0.0,6,0,6,1.1703,0.01
method3,14,4,4,3,3.857,0.122,5,0,5,1.0305,0.02
method3,14,5,5,5,5.0,0.0,5,0,5,1.1095,0.02
method3,14,6,6,5,5.857,0.122,5,0,5,1.196,0.02
method3b,14,3,3,3,3.0,0.0,6,0,6,1.1703,0.01
method3b,14,4,4,4,4.0,0.0,5,0,4,1.0305,0.02
method3b,14,5,5,4,4.857,0.122,5,0,4,1.1095,0.01
method3b,14,6,6,5,5.857,0.122,4,0,4,0.9568,0.02
method4,14,3,3,3,3.0,0.0,6,0,6,1.1703,0.02
method4,14,4,4,3,3.857,0.122,5,0,5,1.0305,0.02
method4,14,5,5,5,5.0,0.0,5,0,5,1.1095,0.02
method4,14,6,6,5,5.857,0.122,5,0,5,1.196,0.02
method1,15,3,3,2,2.933,0.062,6,0,6,1.0923,0.0
method1,15,4,4,4,4.0,0.0,5,0,5,0.9618,0.0
method1,15,5,5,4,4.933,0.062,5,0,5,1.0356,0.0
method1,15,6,6,5,5.867,0.116,5,0,5,1.1162,0.0
method2,15,3,4,1,2.8,0.56,7,0,7,1.3465,0.01
method2,15,4,4,1,3.733,0.596,7,0,7,1.3465,0.02
method2,15,5,5,2,4.667,0.756,6,0,5,1.2427,0.04
method2,15,6,6,4,5.6,0.507,5,0,5,1.1162,0.06
method2r,15,3,4,2,2.933,0.196,6,0,6,1.1542,0.01
method2r,15,4,4,2,3.867,0.249,6,0,6,1.1542,0.02
method2r,15,5,5,3,4.8,0.293,6,0,5,1.2427,0.03
method2r,15,6,6,5,5.867,0.116,5,0,4,1.1162,0.05
method3,15,3,3,2,2.933,0.062,6,0,6,1.0923,0.01
method3,15,4,4,3,3.867,0.116,5,0,5,0.9618,0.02
method3,15,5,5,4,4.933,0.062,5,0,5,1.0356,0.02
method3,15,6,6,5,5.867,0.116,5,0,5,1.1162,0.02
method3b,15,3,3,2,2.933,0.062,6,0,6,1.0923,0.01
method3b,15,4,4,3,3.867,0.116,5,0,5,0.9618,0.02
method3b,15,5,5,4,4.933,0.062,5,0,5,1.0356,0.02
method3b,15,6,6,5,5.867,0.116,5,0,5,1.1162,0.02
method4,15,3,3,2,2.933,0.062,6,0,6,1.0923,0.01
method4,15,4,4,3,3.867,0.116,5,0,5,0.9618,0.02
method4,15,5,5,4,4.933,0.062,5,0,5,1.0356,0.02
method4,15,6,6,5,5.867,0.116,5,0,5,1.1162,0.03
method1,16,3,3,2,2.875,0.109,6,0,6,1.024,0.0
method1,16,4,4,4,4.0,0.0,6,0,5,1.082,0.0
method1,16,5,5,3,4.875,0.234,6,0,5,1.165,0.0
method1,16,6,6,5,5.875,0.109,5,0,4,1.0465,0.0
method1,16,8,8,7,7.75,0.188,5,0,4,1.2022,0.0
method2,16,3,4,2,3.0,0.25,7,0,7,1.2624,0.02
method2,16,4,4,3,3.875,0.109,7,0,7,1.2624,0.02
method2,16,5,5,4,4.875,0.109,7,0,7,1.3592,0.08
method2,16,6,6,4,5.75,0.438,6,0,5,1.2557,0.09
method2,16,8,8,6,7.5,0.5,4,0,4,0.9618,0.09
method2r,16,3,4,2,3.0,0.25,7,0,7,1.2624,0.01
method2r,16,4,4,3,3.875,0.109,7,0,7,1.2624,0.02
method2r,16,5,5,4,4.875,0.109,7,0,7,1.3592,0.06
method2r,16,6,6,4,5.75,0.438,6,0,5,1.2557,0.08
method2r,16,8,8,6,7.875,0.234,4,0,4,0.9618,0.09
method3,16,3,3,2,2.875,0.109,7,0,7,1.1947,0.01
method3,16,4,4,3,3.875,0.109,6,0,6,1.082,0.02
method3,16,5,5,4,4.875,0.109,5,0,5,0.9708,0.02
method3,16,6,6,6,6.0,0.0,5,0,5,1.0465,0.03
method3,16,8,8,7,7.875,0.109,5,0,5,1.2022,0.03
method3b,16,3,3,2,2.875,0.109,7,0,7,1.1947,0.01
method3b,16,4,4,3,3.875,0.109,6,0,6,1.082,0.02
method3b,16,5,5,4,4.875,0.109,5,0,5,0.9708,0.02
method3b,16,6,6,6,6.0,0.0,5,0,5,1.0465,0.03
method3b,16,8,8,7,7.875,0.109,5,0,5,1.2022,0.03
method4,16,3,3,2,2.875,0.109,7,0,7,1.1947,0.01
method4,16,4,4,3,3.875,0.109,6,0,6,1.082,0.02
method4,16,5,5,4,4.875,0.109,5,0,5,0.9708,0.02
method4,16,6,6,6,6.0,0.0,5,0,5,1.0465,0.03
method4,16,8,8,7,7.875,0.109,5,0,5,1.2022,0.03
method1,17,3,3,2,2.941,0.055,7,0,7,1.1244,0.0
method1,17,4,4,3,3.882,0.104,6,0,6,1.0184,0.0
method1,17,5,5,4,4.941,0.055,5,0,5,0.9137,0.0
method1,17,6,6,4,5.882,0.221,5,0,5,0.9849,0.0
method1,17,8,8,7,7.765,0.18,5,0,4,1.1315,0.0
method2,17,3,4,2,3.059,0.173,7,0,7,1.1881,0.02
method2,17,4,4,4,4.0,0.0,7,0,7,1.1881,0.04
method2,17,5,5,2,4.824,0.498,7,0,7,1.2792,0.12
method2,17,6,6,5,5.882,0.104,7,0,6,1.3789,0.14
method2,17,8,8,7,7.765,0.18,5,0,4,1.1315,0.23
method2r,17,3,4,2,3.059,0.173,7,0,7,1.1881,0.03
method2r,17,4,4,4,4.0,0.0,7,0,7,1.1881,0.05
method2r,17,5,5,2,4.824,0.498,7,0,7,1.2792,0.15
method2r,17,6,6,5,5.882,0.104,7,0,6,1.3789,0.18
method2r,17,8,8,7,7.765,0.18,5,0,4,1.1315,0.19
method3,17,3,3,2,2.941,0.055,7,0,7,1.1244,0.03
method3,17,4,4,3,3.882,0.104,6,0,6,1.0184,0.04
method3,17,5,5,4,4.941,0.055,6,0,5,1.0965,0.04
method3,17,6,6,5,5.765,0.18,5,0,5,0.9849,0.03
method3,17,8,8,7,7.882,0.104,5,0,5,1.1315,0.06
method3b,17,3,3,2,2.941,0.055,7,0,7,1.1244,0.04
method3b,17,4,4,3,3.882,0.104,6,0,6,1.0184,2.87
method3b,17,5,5,4,4.941,0.055,6,0,5,1.0965,0.05
method3b,17,6,6,5,5.765,0.18,5,0,5,0.9849,0.05
method3b,17,8,8,7,7.882,0.104,5,0,5,1.1315,0.07
method4,17,3,3,2,2.941,0.055,7,0,7,1.1244,0.02
method4,17,4,4,3,3.882,0.104,6,0,6,1.0184,0.02
method4,17,5,5,4,4.941,0.055,6,0,5,1.0965,0.05
method4,17,6,6,5,5.765,0.18,5,0,5,0.9849,0.05
method4,17,8,8,7,7.882,0.104,5,0,5,1.1315,0.05
method1,18,3,3,1,2.889,0.21,8,0,7,1.2137,0.0
method1,18,4,4,3,3.889,0.099,6,0,6,0.9618,0.0
method1,18,5,5,5,5.0,0.0,6,0,6,1.0356,0.0
method1,18,6,6,4,5.778,0.395,6,0,5,1.1162,0.0
method1,18,8,8,6,7.778,0.284,5,0,5,1.0687,0.0
method2,18,3,4,1,3.0,0.333,8,0,8,1.2824,0.04
method2,18,4,4,1,3.778,0.506,8,0,8,1.2824,0.06
method2,18,5,5,3,4.889,0.21,7,0,7,1.2082,0.21
method2,18,6,6,4,5.778,0.284,7,0,6,1.3023,0.25
method2,18,8,8,5,7.667,0.667,5,0,5,1.0687,0.28
method2r,18,3,4,1,3.0,0.333,8,0,8,1.2824,0.04
method2r,18,4,4,1,3.778,0.506,8,0,8,1.2824,0.07
method2r,18,5,5,3,4.889,0.21,7,0,7,1.2082,0.15
method2r,18,6,6,4,5.778,0.284,7,0,6,1.3023,0.22
method2r,18,8,8,5,7.667,0.667,5,0,5,1.0687,0.27
method3,18,3,3,3,3.0,0.0,8,0,8,1.2137,0.04
method3,18,4,4,4,4.0,0.0,6,0,6,0.9618,0.05
method3,18,5,5,4,4.889,0.099,6,0,6,1.0356,0.07
method3,18,6,6,5,5.889,0.099,6,0,6,1.1162,0.07
method3,18,8,8,7,7.889,0.099,5,0,5,1.0687,0.08
method3b,18,3,3,3,3.0,0.0,7,0,7,1.0619,0.05
method3b,18,4,4,4,4.0,0.0,6,0,6,0.9618,0.04
method3b,18,5,5,4,4.889,0.099,6,0,6,1.0356,0.05
method3b,18,6,6,5,5.889,0.099,6,0,6,1.1162,0.07
method3b,18,8,8,7,7.889,0.099,5,0,5,1.0687,0.08
method4,18,3,3,3,3.0,0.0,8,0,8,1.2137,0.02
method4,18,4,4,4,4.0,0.0,6,0,6,0.9618,0.03
method4,18,5,5,4,4.889,0.099,6,0,6,1.0356,0.03
method4,18,6,6,5,5.889,0.099,6,0,6,1.1162,0.04
method4,18,8,8,7,7.889,0.099,5,0,5,1.0687,0.05
method1,19,3,3,2,2.947,0.05,8,0,7,1.1498,0.0
method1,19,4,4,4,4.0,0.0,8,0,7,1.2149,0.0
method1,19,5,5,4,4.947,0.05,6,0,6,0.9811,0.0
method1,19,6,6,5,5.895,0.094,6,0,6,1.0575,0.0
method1,19,8,8,6,7.789,0.271,6,0,4,1.2149,0.0
method2,19,3,4,2,3.053,0.155,8,0,8,1.2149,0.04
method2,19,4,4,2,3.789,0.377,8,0,8,1.2149,0.07
method2,19,5,5,4,4.947,0.05,8,0,8,1.3081,0.18
method2,19,6,6,5,5.895,0.094,7,0,7,1.2337,0.26
method2,19,8,8,5,7.684,0.637,6,0,5,1.2149,0.31
method2r,19,3,4,2,3.053,0.155,8,0,8,1.2149,0.04
method2r,19,4,4,2,3.789,0.377,8,0,8,1.2149,0.07
method2r,19,5,5,4,4.947,0.05,8,0,8,1.3081,0.18
method2r,19,6,6,5,5.895,0.094,7,0,7,1.2337,0.26
method2r,19,8,8,5,7.684,0.637,6,0,5,1.2149,0.32
method3,19,3,3,2,2.947,0.05,8,0,8,1.1498,0.02
method3,19,4,4,4,4.0,0.0,7,0,6,1.063,0.03
method3,19,5,5,4,4.947,0.05,7,0,7,1.1446,0.04
method3,19,6,6,5,5.895,0.094,7,0,7,1.2337,0.05
method3,19,8,8,7,7.789,0.166,7,0,7,1.4174,0.06
method3b,19,3,3,2,2.947,0.05,8,0,8,1.1498,0.03
method3b,19,4,4,4,4.0,0.0,7,0,6,1.063,0.04
method3b,19,5,5,4,4.947,0.05,7,0,7,1.1446,0.05
method3b,19,6,6,5,5.895,0.094,7,0,7,1.2337,0.06
method3b,19,8,8,7,7.789,0.166,6,0,6,1.2149,0.07
method4,19,3,3,2,2.947,0.05,8,0,8,1.1498,0.02
method4,19,4,4,4,4.0,0.0,7,0,6,1.063,0.03
method4,19,5,5,4,4.947,0.05,7,0,7,1.1446,0.04
method4,19,6,6,5,5.895,0.094,7,0,7,1.2337,0.05
method4,19,8,8,7,7.789,0.166,7,0,7,1.4174,0.07
method1,20,3,3,3,3.0,0.0,8,0,8,1.0923,0.0
method1,20,4,4,4,4.0,0.0,8,0,7,1.1542,0.0
method1,20,5,5,5,5.0,0.0,7,0,6,1.0873,0.0
method1,20,6,6,4,5.9,0.19,6,0,6,1.0046,0.0
method1,20,8,8,7,7.9,0.09,5,0,5,0.9618,0.0
method1,20,10,10,8,9.6,0.34,5,0,5,1.0857,0.0
method2,20,3,4,1,2.9,0.39,9,0,9,1.2984,0.05
method2,20,4,4,1,3.7,0.61,9,0,8,1.2984,0.1
method2,20,5,5,3,4.8,0.26,8,0,8,1.2427,0.25
method2,20,6,6,3,5.7,0.81,7,0,6,1.172,0.36
method2,20,8,8,3,7.6,1.54,6,0,6,1.1542,0.45
method2,20,10,10,8,9.6,0.34,5,0,5,1.0857,0.49
method2r,20,3,4,3,3.1,0.09,8,0,8,1.1542,0.05
method2r,20,4,4,3,3.9,0.09,8,0,7,1.1542,0.09
method2r,20,5,5,4,4.9,0.09,8,0,6,1.2427,0.23
method2r,20,6,6,3,5.7,0.81,7,0,6,1.172,0.35
method2r,20,8,8,3,7.6,1.54,6,0,6,1.1542,0.45
method2r,20,10,10,8,9.6,0.34,5,0,5,1.0857,0.5
method3,20,3,3,2,2.9,0.09,9,0,9,1.2288,0.03
method3,20,4,4,3,3.9,0.09,7,0,7,1.0099,0.04
method3,20,5,5,4,4.9,0.09,7,0,7,1.0873,0.05
method3,20,6,6,5,5.9,0.09,7,0,7,1.172,0.06
method3,20,8,8,7,7.9,0.09,7,0,7,1.3465,0.06
method3,20,10,10,9,9.6,0.24,7,0,5,1.52,0.08
method3b,20,3,3,2,2.9,0.09,9,0,9,1.2288,0.03
method3b,20,4,4,3,3.9,0.09,7,0,7,1.0099,0.04
method3b,20,5,5,4,4.9,0.09,7,0,7,1.0873,0.07
method3b,20,6,6,5,5.9,0.09,7,0,7,1.172,0.07
method3b,20,8,8,7,7.8,0.16,7,0,6,1.3465,0.08
method3b,20,10,10,9,9.6,0.24,7,0,6,1.52,0.09
method4,20,3,3,2,2.9,0.09,9,0,9,1.2288,0.03
method4,20,4,4,3,3.9,0.09,7,0,7,1.0099,0.04
method4,20,5,5,4,4.9,0.09,7,0,7,1.0873,0.05
method4,20,6,6,5,5.9,0.09,7,0,7,1.172,0.06
method4,20,8,8,7,7.9,0.09,7,0,7,1.3465,0.07
method4,20,10,10,9,9.6,0.24,7,0,5,1.52,0.08
